gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Pocillopora_acuta_KBHIv2___RNAseq.g12355.t1,74.77384797,6.836447186,0.309829139,20.17720056,1.55E-90,3.49E-88,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g1342.t1,15.40099406,6.812062312,0.411211525,15.14330079,8.39E-52,6.11E-50,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g8533.t1,21.77537469,6.779434775,0.423999904,14.60960771,2.44E-48,1.58E-46,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17701.t1,20.72373221,6.772991992,0.42121517,14.69089894,7.37E-49,4.80E-47,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g25648.t1,19.69604603,6.704096309,0.416335295,14.69761002,6.68E-49,4.38E-47,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g7348.t1,133.3105269,6.703757353,0.245666904,24.90687493,6.27E-137,4.28E-134,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g25649.t1,12.98461987,6.703035698,0.487834892,12.54127842,4.44E-36,2.01E-34,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g30967.t1,22.74028636,6.62906192,0.426403834,14.17458976,1.32E-45,7.85E-44,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g18896.t1,9.828286402,6.526686638,0.438909793,13.53746086,9.40E-42,5.02E-40,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g18877.t1b,26.80313252,6.50137898,0.491549811,12.03625015,2.29E-33,9.56E-32,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g2452.t1,95.22519404,6.404894442,0.265204853,21.94504313,9.66E-107,3.24E-104,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g19813.t1,26.05987959,6.363735352,0.397695233,14.53065657,7.75E-48,4.94E-46,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g20253.t1,11.6158325,6.302424422,0.413882663,13.81420976,2.09E-43,1.18E-41,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g24145.t1a,98.47124242,6.299985749,0.203348617,28.10455928,8.62E-174,9.57E-171,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g20361.t1,46.05315438,6.284629092,0.292533723,19.48379332,1.51E-84,2.71E-82,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g12292.t1,17.61105044,6.281546817,0.426333691,13.3617972,1.01E-40,5.22E-39,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g19808.t1,16.76883839,6.276624852,0.415706167,13.69155138,1.14E-42,6.26E-41,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g8978.t1,38.15446316,6.265113548,0.442668806,12.83160451,1.09E-37,5.25E-36,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g3632.t1,9.442496241,6.225680863,0.417149479,13.5220554,1.16E-41,6.15E-40,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11099.t1,43.7418676,6.140896767,0.329303771,16.87176024,7.26E-64,8.06E-62,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17981.t1,24.36693606,6.09419774,0.399679319,13.78413887,3.18E-43,1.77E-41,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g8800.t1,63.51851682,6.069342616,0.335862172,16.32925817,6.11E-60,5.81E-58,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g25113.t1,391.9167334,6.041532625,0.136803826,39.88609292,0,0,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g14919.t1,8.974608562,6.033974733,0.420254012,12.96599695,1.91E-38,9.36E-37,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11522.t1,27.8409916,6.025952672,0.379711928,14.32925798,1.44E-46,8.77E-45,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g19857.t1,342.6737194,5.951137923,0.156257078,34.34196711,1.86E-258,8.25E-255,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21793.t1b,895.5656428,5.946446831,0.1822199,29.42315485,2.78E-190,4.11E-187,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g5931.t1,19.18207217,5.915493906,0.460281045,11.58103612,5.14E-31,2.01E-29,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g18855.t1,49.46247915,5.894904613,0.238535324,22.2606112,8.90E-110,3.23E-107,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g27105.t1,60.10735613,5.750454214,0.242244588,21.32345557,6.88E-101,1.91E-98,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g12488.t2,130.1404968,5.697657333,0.149546127,34.18807926,3.64E-256,1.29E-252,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g16733.t1,14.93792127,5.653309513,0.428991824,11.81455387,3.28E-32,1.34E-30,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g31692.t1,10.67206171,5.640784956,0.4165767,12.13659443,6.76E-34,2.87E-32,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g20669.t2,109.2810369,5.592546644,0.433046119,11.56362781,6.30E-31,2.44E-29,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g2641.t1,24.74617836,5.589807855,0.356484525,14.03944632,8.94E-45,5.21E-43,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21595.t1,11.22672416,5.578574694,0.410622934,12.161065,5.01E-34,2.15E-32,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g18390.t1,162.889913,5.575177162,0.286904767,17.39327898,9.28E-68,1.12E-65,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g5633.t1,43.66403124,5.483631842,0.229930679,21.30498355,1.02E-100,2.75E-98,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g13571.t1,19.50635599,5.450821844,0.348314654,13.96972331,2.39E-44,1.37E-42,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g19805.t1,10.8338003,5.443562313,0.426559848,11.39019493,4.68E-30,1.75E-28,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g16800.t1,12.26331914,5.364666503,0.396320907,12.06018637,1.71E-33,7.17E-32,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g5504.t1,341.5532118,5.320781307,0.536046641,8.834714081,1.00E-18,2.63E-17,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17775.t1,23.72678577,5.283065264,0.2708394,17.34645243,2.10E-67,2.52E-65,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g520.t1,11.42555882,5.260357454,0.409717052,11.41127745,3.67E-30,1.38E-28,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g31359.t1,32.98419114,5.244138997,0.397289981,11.72739489,9.23E-32,3.72E-30,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g992.t1,55.85872109,5.241055244,0.597957851,7.7866571,6.88E-15,1.57E-13,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g3108.t1b,14.40873499,5.240706921,0.39585799,11.76114802,6.19E-32,2.51E-30,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g23533.t1,43.15368466,5.180509443,0.257210468,17.86687371,2.14E-71,2.83E-69,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21481.t1,202.971858,5.17154065,0.161237524,28.44609641,5.45E-178,6.45E-175,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g5105.t1,54.84127935,5.094153353,0.220148223,20.48252218,3.08E-93,7.40E-91,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g2470.t1,84.32422524,5.025715609,0.179812773,24.69653865,1.17E-134,7.40E-132,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17707.t1,13.9469619,4.913515005,0.346891368,12.47812112,9.83E-36,4.39E-34,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g15944.t1,14.40510254,4.909391048,0.395507867,10.93386226,7.94E-28,2.80E-26,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g2549.t1c,273.5021496,4.891899225,0.127710675,33.72417177,2.56E-249,7.58E-246,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9735.t1,16.07151017,4.868894835,0.375001267,11.42378096,3.18E-30,1.20E-28,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g16734.t1,26.91032086,4.8272819,0.269016404,15.76974243,5.03E-56,4.14E-54,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g4634.t1,55.65723431,4.823114493,0.26606933,15.92875059,4.00E-57,3.45E-55,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g16978.t1,40.09446677,4.784340023,0.224015008,18.74596507,2.09E-78,3.26E-76,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21838.t1,88.36185863,4.774770066,0.44781145,9.356186767,8.27E-21,2.37E-19,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g23243.t1,45.34949404,4.746696639,0.367504256,11.32431548,9.95E-30,3.71E-28,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17726.t1,19.91940231,4.721289631,0.261114968,15.84101882,1.62E-56,1.36E-54,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g20919.t1,27.18033685,4.698243517,0.304778741,13.49595778,1.65E-41,8.69E-40,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g4689.t1,26.49735156,4.683810114,0.307428214,13.33269825,1.49E-40,7.70E-39,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g16673.t1,109.392279,4.674332451,0.171894654,23.78997755,4.24E-125,2.22E-122,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11575.t1,62.98267644,4.65054823,0.183523034,22.1529998,9.76E-109,3.47E-106,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g6526.t1,69.46728433,4.635169839,0.17284183,23.43302734,1.97E-121,9.72E-119,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g30849.t1,29.63135062,4.622634694,0.510512497,7.909056515,2.59E-15,6.01E-14,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11970.t1,256.3392886,4.595913638,0.133956053,29.94229109,5.54E-197,9.85E-194,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g16977.t1,116.3718797,4.574589825,0.179081331,22.27829835,6.00E-110,2.22E-107,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17822.t1,33.89699532,4.560481922,0.219372645,18.12222041,2.13E-73,2.96E-71,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g25576.t1,24.95894643,4.550320108,0.260440829,15.22556053,2.39E-52,1.77E-50,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21347.t1,68.56649195,4.53312103,0.313326161,12.6007944,2.09E-36,9.60E-35,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17715.t1,16.70927147,4.456668799,0.271924445,14.23816932,5.31E-46,3.21E-44,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g29334.t1,12.25426603,4.434278524,0.346510184,11.10881066,1.14E-28,4.11E-27,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g19810.t1,27.57164995,4.431585268,0.223101984,17.24154442,1.30E-66,1.53E-64,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g15242.t1,49.02315663,4.387266384,0.320553401,11.86168629,1.87E-32,7.74E-31,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g16730.t1,42.51659651,4.349340046,0.187585693,20.06750879,1.42E-89,3.04E-87,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21794.t1,17.85923331,4.347544643,0.28726413,13.09798807,3.38E-39,1.68E-37,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g28504.t1,64.66419106,4.347092306,0.196014566,19.19311348,4.23E-82,7.09E-80,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g22403.t1,37.97481513,4.321345746,0.273358491,13.66843676,1.57E-42,8.54E-41,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g31286.t1c,199.0496449,4.291725079,0.269529752,13.75270279,4.91E-43,2.70E-41,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g656.t1,64.14212282,4.217216416,0.181830242,19.9760715,8.90E-89,1.82E-86,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21642.t2a,23.62333963,4.198746649,0.262276898,13.77850725,3.43E-43,1.91E-41,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g23600.t1,364.9795325,4.170930808,0.159267327,22.51540466,2.93E-112,1.21E-109,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g17063.t1,74.60141623,4.16839968,0.130884679,27.37858411,4.93E-165,5.16E-162,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g20873.t1,18.14184365,4.117033619,0.365259657,9.670028031,4.04E-22,1.21E-20,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g14829.t1,13.90661318,4.103134091,0.299380832,11.75149244,6.94E-32,2.80E-30,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g26995.t1,16.07872413,4.100770329,0.277908489,12.65095514,1.11E-36,5.13E-35,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g23478.t1,15.66052587,4.095985472,0.317406492,11.06159786,1.93E-28,6.93E-27,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g8173.t1,12.01901178,4.079062285,0.311609721,11.21306413,3.52E-29,1.29E-27,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g7333.t2,82.80520508,4.063886653,0.396637772,8.771035928,1.77E-18,4.58E-17,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g1351.t1,106.3084242,4.058268808,0.160315432,21.66545208,4.35E-104,1.31E-101,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g7334.t1,253.9963988,4.05766206,0.38639515,8.987430511,2.53E-19,6.82E-18,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g25082.t1,16.60517217,4.05176219,0.272042582,12.74359207,3.38E-37,1.60E-35,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g8802.t1,14.29091992,4.029040666,0.302199237,11.39671364,4.34E-30,1.63E-28,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g23833.t1,53.15282787,4.028169082,0.316114488,10.89227705,1.25E-27,4.40E-26,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17746.t1,37.43864353,4.026015572,0.171892484,20.01863598,3.79E-89,8.02E-87,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9469.t1,65.29272315,4.019137017,0.164219514,20.91209772,4.16E-97,1.04E-94,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g374.t1,20.15540942,3.995855413,0.234831557,14.52484905,8.43E-48,5.35E-46,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g31214.t1,103.5102586,3.985332059,0.691441967,4.917794579,8.75E-07,1.23E-05,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g14826.t1,12.49536076,3.963450561,0.292842522,11.53687665,8.60E-31,3.30E-29,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g23592.t1,27.19701706,3.962519599,0.19160129,17.6280499,1.50E-69,1.87E-67,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24240.t1,52.45178745,3.937641561,0.18811645,17.82235982,4.74E-71,6.19E-69,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24082.t1,65.12954704,3.935317802,0.136487908,24.54690192,4.67E-133,2.77E-130,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g5956.t1,62.34845613,3.933828757,0.158122262,21.17896761,1.49E-99,3.90E-97,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g18792.t1,151.0932656,3.931693185,0.313092722,10.68926374,1.14E-26,3.91E-25,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24461.t1,40.05671657,3.910146967,0.156478832,21.25005933,3.29E-100,8.73E-98,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g4609.t1,235.532847,3.904738309,0.199352661,16.65277901,2.89E-62,2.97E-60,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9582.t1,66.88857728,3.899618166,0.21058715,15.74006612,8.04E-56,6.55E-54,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9402.t1,12.16002153,3.889520913,0.348633468,9.478603514,2.58E-21,7.53E-20,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g23441.t1,36.78700502,3.888153553,0.260552774,12.67762767,7.87E-37,3.69E-35,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g28447.t1,35.67099255,3.869468319,0.19369453,16.95714289,1.70E-64,1.94E-62,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g3044.t1,17.75236202,3.866179554,0.409263343,8.017373429,1.08E-15,2.54E-14,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g5300.t1,69.47089202,3.865136181,0.193601563,16.94290906,2.17E-64,2.44E-62,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g24663.t1,81.0736861,3.827783413,0.196801783,16.47759922,5.32E-61,5.28E-59,Up.Group3_v_Group6
